# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.5000,17.2700,0.9000,0.9000
-0.7000,17.1200,1.0500,1.0500
-0.8500,16.9200,0.9000,0.9000
-0.9500,16.7200,0.8000,0.8000
-1.0000,16.5200,0.7746,0.7746
-1.0500,16.3200,0.7500,0.7500
-1.1000,16.1200,0.7000,0.7000
-1.1000,15.9200,0.7000,0.7000
-1.1000,15.7200,0.7000,0.7000
-1.1000,15.5200,0.7017,0.7017
-1.1000,15.3200,0.7406,0.7406
-1.1000,15.1200,0.7406,0.7406
-1.1500,14.9200,0.7000,0.7000
-1.1500,14.7200,0.7000,0.7000
-1.1500,14.5200,0.7000,0.7000
-1.1500,14.3200,0.7000,0.7000
-1.1500,14.1200,0.7066,0.7066
-1.1500,13.9200,0.7500,0.7500
-1.1500,13.7200,0.7500,0.7500
-1.1500,13.5200,0.7500,0.7500
-1.1500,13.3200,0.7500,0.7500
-1.1500,13.1200,0.7500,0.7500
-1.2000,12.9200,0.7149,0.7149
-1.2000,12.7200,0.7500,0.7500
-1.2000,12.5200,0.7500,0.7500
-1.2500,12.3200,0.7000,0.7000
-1.2500,12.1200,0.7262,0.7262
-1.2500,11.9200,0.7500,0.7500
-1.2500,11.7200,0.7500,0.7500
-1.2500,11.5200,0.7500,0.7500
-1.3000,11.3200,0.7000,0.7000
-1.3000,11.1200,0.7066,0.7066
-1.3000,10.9200,0.7500,0.7500
-1.3000,10.7200,0.7500,0.7500
-1.3500,10.5200,0.7000,0.7000
-1.3500,10.3200,0.7000,0.7000
-1.3500,10.1200,0.7066,0.7066
-1.3500,9.9200,0.7406,0.7406
-1.3500,9.7200,0.7017,0.7017
-1.4000,9.5200,0.7000,0.7000
-1.4500,9.3200,0.6500,0.6500
-1.4500,9.1200,0.6518,0.6518
