s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.197872479868361140e+01,-2.845552229914614539e+00,-2.087197532190057814e+01,-3.128655455159026655e+00,4.861256746733094158e-01,4.246301614783578593e+00,-2.892275395783611813e+00
1.217837021199500391e+01,-2.832706734810379601e+00,-2.107149123336976970e+01,-3.023420855872426039e+00,5.597315249202566845e-01,4.108067473899429167e+00,-2.256029488119094317e+00
1.237801562530639821e+01,-2.797708976360407274e+00,-2.126803389783075104e+01,-2.904982346698625761e+00,6.299891616050988796e-01,3.996924629125996553e+00,-2.009645583457451146e+00
1.257766103861779072e+01,-2.738398534698886166e+00,-2.145889900161038000e+01,-2.774144853057900040e+00,6.784843664247157680e-01,3.895250113237457068e+00,-1.660853132304718205e+00
1.277730645192918502e+01,-2.653818586169323090e+00,-2.163982074328791327e+01,-2.632595575557773238e+00,7.326160008883206842e-01,3.809174454469029580e+00,-1.124101607922272539e+00
1.297695186524057931e+01,-2.544167885862876233e+00,-2.180581872187617520e+01,-2.480998942234937665e+00,7.935350386938887501e-01,3.749795536338500046e+00,-7.564198079377472128e-01
1.317659727855197183e+01,-2.409121046728295745e+00,-2.195335327197257413e+01,-2.318258221406301445e+00,8.372373736447930037e-01,3.709303853010538443e+00,-4.526734524239931501e-01
1.337624269186336612e+01,-2.251639810493792471e+00,-2.207610828256653690e+01,-2.146590164745632023e+00,8.704856277607084802e-01,3.684859117652974803e+00,-2.731850584190689823e-01
1.357588810517475864e+01,-2.075634809889011834e+00,-2.216950049695230618e+01,-1.969773752189104776e+00,8.906988304189522587e-01,3.670028123755063820e+00,-2.679568260676513658e-01
1.377553351848615293e+01,-1.886447798509605311e+00,-2.223023295977545644e+01,-1.792843847127987722e+00,8.980615077489950693e-01,3.655422509994343372e+00,-2.679568260676489788e-01
1.397517893179754545e+01,-1.687553652609697918e+00,-2.225695439590548119e+01,-1.617269042255374378e+00,8.593146579932068319e-01,3.640758303429874054e+00,3.438689601272436058e-01
1.417482434510893974e+01,-1.486594664496531770e+00,-2.224905148444472403e+01,-1.447469263456337973e+00,8.189699691196722364e-01,3.659566196331567767e+00,7.634416525244162033e-01
1.437446975842033225e+01,-1.290255163714917552e+00,-2.220830631747886841e+01,-1.288489183332317101e+00,7.080519437867434096e-01,3.700980950214070031e+00,2.026950763130515920e+00
1.457411517173172655e+01,-1.103498951756343383e+00,-2.214181909685884975e+01,-1.181440089539984806e+00,3.079001452116472137e-01,3.808753449566079308e+00,5.009092189045832200e+00
1.477376058504312084e+01,-9.221889264100395778e-01,-2.206562281118189617e+01,-1.181913888397859269e+00,-2.462281411383158980e-01,4.062842281011579182e+00,4.968983541436317708e+00
1.497340599835451336e+01,-7.387283497416373690e-01,-2.199385069945523696e+01,-1.204227255570760491e+00,5.991987284884221776e-02,4.300088016088800202e+00,4.929196050545910701e+00
1.517305141166590765e+01,-5.544790545046158758e-01,-2.191973468870873987e+01,-1.164869974291509624e+00,2.955194685722316583e-01,4.523155945987133109e+00,4.889727144818476923e+00
1.537269682497730017e+01,-3.736733082314071530e-01,-2.183490574091871395e+01,-1.097120329931244420e+00,3.656125079585290094e-01,4.734064100256059504e+00,3.356699674701158820e+00
1.557234223828869446e+01,-1.987930135470306892e-01,-2.173677978004268496e+01,-1.021101936389648301e+00,3.866703344835122902e-01,4.873567717101002117e+00,2.339633408328886777e+00
1.577198765160008698e+01,-3.129946627180697077e-02,-2.162486148329957913e+01,-9.419091844249681822e-01,3.990839549006502396e-01,4.968486333962790269e+00,1.653233549224028875e+00
1.597163306491148127e+01,1.248698229439937080e-01,-2.150142575519598509e+01,-8.616106480896277287e-01,4.097129673829646435e-01,5.034478864911957174e+00,1.107149422637687453e+00
1.617127847822287379e+01,2.705151478742111038e-01,-2.136562702864173957e+01,-7.788018656710653520e-01,4.209916769407338610e-01,5.078193778244892265e+00,6.263046414813648877e-01
1.637092389153426808e+01,4.051314216835669169e-01,-2.121702585496896987e+01,-6.928196455623079064e-01,4.344678669687958572e-01,5.102757073134083221e+00,1.651143004778376777e-01
1.657056930484566237e+01,5.259221279675622140e-01,-2.105784110486774097e+01,-6.050657304841117190e-01,4.447293453258297502e-01,5.109213087447513679e+00,-1.327178969563744260e-01
1.677021471815705667e+01,6.317260766960980378e-01,-2.088930735454127330e+01,-5.161532339353485099e-01,4.461409209003550091e-01,5.104024425310051960e+00,-1.448606903994989203e-01
1.696986013146844741e+01,7.226884777185678121e-01,-2.071088177508017836e+01,-4.268125254296530890e-01,4.427982939530529238e-01,5.098355008171443714e+00,-3.100963601698062538e-02
1.716950554477984170e+01,7.971572842727698838e-01,-2.052621986029791046e+01,-3.404220472148431487e-01,4.250685330184765798e-01,5.097140563703177918e+00,4.353554475085980036e-01
1.736915095809123599e+01,8.558013667539895453e-01,-2.033578589079970200e+01,-2.580130074767372772e-01,3.967813370463761924e-01,5.114164190037194579e+00,1.097820786595832265e+00
1.756879637140263029e+01,8.994604307162706869e-01,-2.013999453190072586e+01,-1.819413281554238537e-01,3.621721779028688748e-01,5.156842554511658072e+00,1.835463581363852237e+00
1.776844178471402458e+01,9.286169530325004695e-01,-1.994383437480906807e+01,-1.148514414084849111e-01,3.131153560901454580e-01,5.227418952280476816e+00,2.895858846852207957e+00
1.796808719802541532e+01,9.456653078137533530e-01,-1.974370486241735989e+01,-5.666609704741354392e-02,2.648669791723298195e-01,5.336871628154798763e+00,3.884838962430956055e+00
1.816773261133680961e+01,9.520908261813431084e-01,-1.954520826052543470e+01,-9.980522034909400375e-03,2.066280308093224327e-01,5.480271830485153650e+00,4.697726350213716984e+00
1.836737802464820390e+01,9.502973974253152711e-01,-1.934482424600510342e+01,2.608548328161264251e-02,1.519244124803083573e-01,5.648817431430545710e+00,4.660110861491305378e+00
1.856702343795959820e+01,9.424600233430471263e-01,-1.914561853633484390e+01,5.070576498486856210e-02,9.608365320733891490e-02,5.811185583998526027e+00,4.622796566343462032e+00
1.876666885127098894e+01,9.307389938220379522e-01,-1.894591831052735742e+01,6.504595777424615477e-02,5.146340943476317153e-02,5.967890595005622245e+00,4.585781053062387258e+00
1.896631426458238323e+01,9.169647051626677037e-01,-1.874673155391700874e+01,7.191641458934538989e-02,1.770146891468388564e-02,6.119377293593272427e+00,4.549061929251107195e+00
1.916595967789377752e+01,9.024645465734270067e-01,-1.854744816621926873e+01,7.238879880439719194e-02,-1.127086409006265548e-02,6.266033606631379982e+00,4.512636821669104847e+00
1.936560509120517182e+01,8.884110038835123513e-01,-1.834820647066919364e+01,6.760946975693160610e-02,-3.647328836377047856e-02,6.408200343794391074e+00,4.476503376078746044e+00
1.956525050451656611e+01,8.757837680440544448e-01,-1.814893786936665165e+01,5.857338092062236434e-02,-4.887966450711339617e-02,6.546178914421812323e+00,4.440659257093184209e+00
1.976489591782795685e+01,8.650887524532440143e-01,-1.794949394915518681e+01,4.845333001270391016e-02,-5.245506606017165396e-02,6.680237487180797018e+00,4.405102148025350495e+00
