# e7_fifth_v3 raceline (centerline path; velocity copied from e7_fifth_v3_centerline_with_vel.csv)
# generated for mppi_example / mppi_bringup
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
9.981327;0.050000;0.570000;-0.244979;-1.224893;3.129979;-0.130507;0.900000;0.900000
10.187482;0.250000;0.520000;0.000000;1.188321;3.117401;0.000000;0.905200;0.905200
10.387482;0.450000;0.520000;-0.244979;-1.224893;3.129979;0.000000;0.900000;0.900000
10.593638;0.650000;0.470000;0.000000;1.188321;3.117401;0.000000;0.900000;0.900000
10.793638;0.850000;0.470000;-0.244979;-1.224893;3.129979;0.000000;0.901300;0.901300
10.999793;1.050000;0.420000;0.000000;1.188321;3.117401;0.033442;0.900000;0.900000
11.199793;1.250000;0.420000;0.000000;0.000000;3.134336;0.425525;0.900000;0.900000
11.399793;1.450000;0.420000;0.000000;0.000000;3.171706;-6.740438;0.901300;0.901300
11.599793;1.650000;0.420000;0.000000;0.000000;2.284265;-5.119883;0.900000;0.900000
11.799793;1.850000;0.420000;-0.463648;-2.318238;2.275158;-0.098019;0.900000;0.900000
12.023400;2.050000;0.320000;-0.244979;0.977917;2.266015;2.404149;0.932300;0.932300
12.229555;2.250000;0.270000;-0.244979;0.000000;2.731118;5.494944;0.911800;0.911800
12.435710;2.450000;0.220000;-0.244979;-0.000000;3.095574;3.088663;0.911800;0.911800
12.641866;2.650000;0.170000;0.000000;1.188321;3.142508;0.266199;0.915700;0.915700
12.841866;2.850000;0.170000;-0.244979;-1.224893;3.129979;-0.193484;0.862400;0.862400
13.048021;3.050000;0.120000;0.000000;1.188321;3.117401;0.033442;0.900000;0.900000
13.248021;3.250000;0.120000;0.000000;0.000000;3.134336;0.196734;0.900000;0.900000
13.448021;3.450000;0.120000;0.000000;0.000000;3.142508;-0.034230;0.900000;0.900000
13.648021;3.650000;0.120000;-0.244979;-1.224893;3.129979;-0.193484;0.900000;0.900000
13.854176;3.850000;0.070000;0.000000;1.188321;3.117401;0.033442;0.900000;0.900000
14.054176;4.050000;0.070000;0.000000;0.000000;3.134336;2.563871;0.900000;0.900000
14.254176;4.250000;0.070000;0.000000;0.000000;3.444599;5.103216;0.900000;0.900000
14.454176;4.450000;0.070000;0.000000;0.000000;3.726941;5.056658;0.901300;0.901300
14.654176;4.650000;0.070000;0.000000;0.000000;3.987313;5.012561;0.901300;0.901300
14.854176;4.850000;0.070000;0.000000;0.000000;4.229792;4.969995;0.905200;0.905200
15.054176;5.050000;0.070000;0.000000;0.000000;4.457312;4.928450;0.946200;0.946200
15.254176;5.250000;0.070000;0.000000;0.000000;4.672072;4.887711;0.950000;0.950000
15.454176;5.450000;0.070000;0.000000;0.000000;4.875774;4.847604;0.920800;0.920800
15.654176;5.650000;0.070000;0.000000;0.000000;5.069761;4.808009;0.900000;0.900000
15.854176;5.850000;0.070000;0.000000;0.000000;5.255122;4.768892;0.900000;0.900000
16.054176;6.050000;0.070000;0.000000;0.000000;5.432751;4.730201;0.900000;0.900000
16.254176;6.250000;0.070000;0.000000;0.000000;5.603395;4.691905;0.900000;0.900000
16.454176;6.450000;0.070000;0.000000;0.000000;5.767684;4.653973;0.900000;0.900000
16.654176;6.650000;0.070000;0.000000;0.000000;5.926157;4.616402;0.900000;0.900000
16.854176;6.850000;0.070000;0.000000;0.000000;6.079279;4.579171;0.900000;0.900000
17.054176;7.050000;0.070000;0.000000;0.000000;6.227454;4.542258;0.900000;0.900000
17.254176;7.250000;0.070000;0.000000;0.000000;6.371036;4.505676;0.900000;0.900000
17.454176;7.450000;0.070000;0.000000;0.000000;6.510339;4.469413;0.905200;0.905200
17.654176;7.650000;0.070000;0.000000;0.000000;6.645640;4.433439;0.901300;0.901300
17.854176;7.850000;0.070000;0.000000;0.000000;6.777187;4.397784;0.932300;0.932300
18.054176;8.050000;0.070000;0.000000;0.000000;6.905204;4.362432;0.950000;0.950000
18.254176;8.250000;0.070000;0.000000;0.000000;7.029891;4.327355;0.946200;0.946200
18.454176;8.450000;0.070000;0.000000;0.000000;7.151430;4.292592;0.905200;0.905200
18.654176;8.650000;0.070000;0.000000;0.000000;7.269988;4.258105;0.900000;0.900000
18.854176;8.850000;0.070000;0.000000;0.000000;7.385714;4.223871;0.900000;0.900000
19.054176;9.050000;0.070000;0.000000;0.000000;7.498747;4.189944;0.900000;0.900000
19.254176;9.250000;0.070000;0.000000;0.000000;7.609215;4.156305;0.900000;0.900000
19.454176;9.450000;0.070000;0.000000;0.000000;7.717235;4.122933;0.900000;0.900000
19.654176;9.650000;0.070000;0.000000;0.000000;7.822915;4.089820;0.900000;0.900000
19.854176;9.850000;0.070000;0.000000;0.000000;7.926355;4.056986;0.900000;0.900000
20.054176;10.050000;0.070000;0.000000;0.000000;8.027649;4.024421;0.900000;0.900000
20.254176;10.250000;0.070000;0.000000;0.000000;8.126883;3.992108;0.905200;0.905200
20.454176;10.450000;0.070000;0.000000;0.000000;8.224138;3.960046;0.900000;0.900000
20.654176;10.650000;0.070000;0.000000;0.000000;8.319489;3.928255;0.905200;0.905200
20.854176;10.850000;0.070000;0.000000;0.000000;8.413008;-4.432225;0.946200;0.946200
21.054176;11.050000;0.070000;0.000000;0.000000;8.108757;-12.912385;0.950000;0.950000
21.254176;11.250000;0.070000;0.000000;0.000000;7.776048;-13.170215;0.911800;0.911800
21.454176;11.450000;0.070000;0.000000;0.000000;7.431281;-13.067462;0.900000;0.900000
21.654176;11.650000;0.070000;0.000000;0.000000;7.072672;-12.966135;0.900000;0.900000
21.854176;11.850000;0.070000;0.000000;0.000000;6.697972;-12.866570;0.900000;0.900000
22.054176;12.050000;0.070000;0.000000;0.000000;6.304286;-12.769205;0.900000;0.900000
22.254176;12.250000;0.070000;0.000000;0.000000;5.887780;-12.674889;0.900000;0.900000
22.454176;12.450000;0.070000;0.000000;0.000000;5.443188;-12.585263;0.900000;0.900000
22.654176;12.650000;0.070000;0.000000;0.000000;4.962935;-12.503755;0.900000;0.900000
22.854176;12.850000;0.070000;0.000000;0.000000;4.435417;-12.438761;0.900000;0.900000
23.054176;13.050000;0.070000;0.000000;0.000000;3.841168;-12.415702;0.900000;0.900000
23.254176;13.250000;0.070000;0.000000;0.000000;3.142508;-5.587293;0.905200;0.905200
23.454176;13.450000;0.070000;0.244979;1.224893;3.129979;-0.193484;0.901300;0.901300
23.660332;13.650000;0.120000;0.000000;-1.188321;3.117401;0.033442;0.900000;0.900000
23.860332;13.850000;0.120000;0.000000;0.000000;3.134336;2.563871;0.900000;0.900000
24.060332;14.050000;0.120000;0.000000;0.000000;3.444599;5.103216;0.900000;0.900000
24.260332;14.250000;0.120000;0.000000;0.000000;3.726941;5.056658;0.900000;0.900000
24.460332;14.450000;0.120000;0.000000;0.000000;3.987313;1.138647;0.900000;0.900000
24.660332;14.650000;0.120000;0.000000;0.000000;3.841168;-8.112595;0.900000;0.900000
24.860332;14.850000;0.120000;0.000000;0.000000;3.142508;-5.587293;0.911800;0.911800
25.060332;15.050000;0.120000;-0.244979;-1.224893;3.129979;-0.193484;0.950000;0.950000
25.266487;15.250000;0.070000;0.000000;1.188321;3.117401;0.033442;0.900000;0.900000
25.466487;15.450000;0.070000;0.000000;0.000000;3.134336;2.563871;0.900000;0.900000
25.666487;15.650000;0.070000;0.000000;0.000000;3.444599;5.103216;0.900000;0.900000
25.866487;15.850000;0.070000;0.000000;0.000000;3.726941;-2.814688;0.900000;0.900000
26.066487;16.050000;0.070000;0.000000;0.000000;3.142508;-4.689895;0.911800;0.911800
26.266487;16.250000;0.070000;0.244979;1.224893;3.129979;-0.193484;0.900000;0.900000
26.472642;16.450000;0.120000;0.000000;-1.188321;3.117401;0.033442;0.900000;0.900000
26.672642;16.650000;0.120000;0.000000;0.000000;3.134336;2.563871;0.900000;0.900000
26.872642;16.850000;0.120000;0.000000;0.000000;3.444599;5.103216;0.900000;0.900000
27.072642;17.050000;0.120000;0.000000;0.000000;3.726941;5.056658;0.900000;0.900000
27.272642;17.250000;0.120000;0.000000;0.000000;3.987313;5.012561;0.900000;0.900000
27.472642;17.450000;0.120000;0.000000;0.000000;4.229792;4.969995;0.900000;0.900000
27.672642;17.650000;0.120000;0.000000;0.000000;4.457312;4.928450;0.900000;0.900000
27.872642;17.850000;0.120000;0.000000;0.000000;4.672072;4.887711;0.900000;0.900000
28.072642;18.050000;0.120000;0.000000;0.000000;4.875774;4.847604;0.900000;0.900000
28.272642;18.250000;0.120000;0.000000;0.000000;5.069761;4.808009;0.900000;0.900000
28.472642;18.450000;0.120000;0.000000;0.000000;5.255122;4.768892;0.900000;0.900000
28.672642;18.650000;0.120000;0.000000;0.000000;5.432751;4.730201;0.900000;0.900000
28.872642;18.850000;0.120000;0.000000;0.000000;5.603395;4.691905;0.900000;0.900000
29.072642;19.050000;0.120000;0.000000;0.000000;5.767684;4.653973;0.901300;0.901300
29.272642;19.250000;0.120000;0.000000;0.000000;5.926157;4.616402;0.911800;0.911800
29.472642;19.450000;0.120000;0.000000;0.000000;6.079279;4.579171;0.950000;0.950000
29.672642;19.650000;0.120000;0.000000;0.000000;6.227454;4.542258;0.950000;0.950000
