s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
22.054176,12.050000,0.070000,0.000000,0.000000,6.304286,-12.695173,0.900000,0.900000
22.254176,12.250000,0.070000,0.000000,0.000000,5.887780,-12.594150,0.900000,0.900000
22.454176,12.450000,0.070000,0.000000,0.000000,5.443188,-12.493932,0.900000,0.900000
22.654176,12.650000,0.070000,0.000000,0.000000,4.962935,-12.394510,0.900000,0.900000
22.854176,12.850000,0.070000,0.000000,0.000000,4.435417,-12.295880,0.900000,0.900000
23.054176,13.050000,0.070000,0.000000,0.000000,3.841168,-12.198035,0.900000,0.900000
23.254176,13.250000,0.070000,0.000000,0.000000,3.142508,-0.196459,0.905200,0.905200
23.454176,13.450000,0.070000,0.244979,1.224893,3.129979,-0.196459,0.901300,0.901300
23.660332,13.650000,0.120000,0.000000,-1.188321,3.117401,0.256789,0.900000,0.900000
23.860332,13.850000,0.120000,0.000000,0.000000,3.134336,5.102993,0.900000,0.900000
24.060332,14.050000,0.120000,0.000000,0.000000,3.444599,5.062060,0.900000,0.900000
24.260332,14.250000,0.120000,0.000000,0.000000,3.726941,5.021455,0.900000,0.900000
24.460332,14.450000,0.120000,0.000000,0.000000,3.987313,-2.860248,0.900000,0.900000
24.660332,14.650000,0.120000,0.000000,0.000000,3.841168,-12.198035,0.900000,0.900000
24.860332,14.850000,0.120000,0.000000,0.000000,3.142508,-0.196459,0.911800,0.911800
25.060332,15.050000,0.120000,-0.244979,-1.224893,3.129979,-0.196459,0.950000,0.950000
25.266487,15.250000,0.070000,0.000000,1.188321,3.117401,0.256789,0.900000,0.900000
25.466487,15.450000,0.070000,0.000000,0.000000,3.134336,5.102993,0.900000,0.900000
25.666487,15.650000,0.070000,0.000000,0.000000,3.444599,5.062060,0.900000,0.900000
25.866487,15.850000,0.070000,0.000000,0.000000,3.726941,-10.036827,0.900000,0.900000
26.066487,16.050000,0.070000,0.000000,0.000000,3.142508,-0.196459,0.911800,0.911800
26.266487,16.250000,0.070000,0.244979,1.224893,3.129979,-0.196459,0.900000,0.900000
26.472642,16.450000,0.120000,0.000000,-1.188321,3.117401,0.256789,0.900000,0.900000
26.672642,16.650000,0.120000,0.000000,0.000000,3.134336,5.102993,0.900000,0.900000
26.872642,16.850000,0.120000,0.000000,0.000000,3.444599,5.062060,0.900000,0.900000
27.072642,17.050000,0.120000,0.000000,0.000000,3.726941,5.021455,0.900000,0.900000
27.272642,17.250000,0.120000,0.000000,0.000000,3.987313,4.981176,0.900000,0.900000
27.472642,17.450000,0.120000,0.000000,0.000000,4.229792,4.941220,0.900000,0.900000
27.672642,17.650000,0.120000,0.000000,0.000000,4.457312,4.901585,0.900000,0.900000
27.872642,17.850000,0.120000,0.000000,0.000000,4.672072,4.862267,0.900000,0.900000
28.072642,18.050000,0.120000,0.000000,0.000000,4.875774,4.823265,0.900000,0.900000
28.272642,18.250000,0.120000,0.000000,0.000000,5.069761,4.784576,0.900000,0.900000
28.472642,18.450000,0.120000,0.000000,0.000000,5.255122,4.746197,0.900000,0.900000
28.672642,18.650000,0.120000,0.000000,0.000000,5.432751,4.708126,0.900000,0.900000
28.872642,18.850000,0.120000,0.000000,0.000000,5.603395,4.670360,0.900000,0.900000
29.072642,19.050000,0.120000,0.000000,0.000000,5.767684,4.632897,0.901300,0.901300
29.272642,19.250000,0.120000,0.000000,0.000000,5.926157,4.595735,0.911800,0.911800
29.472642,19.450000,0.120000,0.000000,0.000000,6.079279,4.558871,0.950000,0.950000
29.672642,19.650000,0.120000,0.000000,0.000000,6.227454,4.522303,0.950000,0.950000
29.872642,19.850000,0.120000,0.000000,0.000000,6.371036,4.486027,0.920800,0.920800
30.072642,20.050000,0.120000,0.000000,0.000000,6.510339,4.450043,0.900000,0.900000
30.272642,20.250000,0.120000,0.000000,0.000000,6.645640,4.414348,0.900000,0.900000
30.472642,20.450000,0.120000,0.000000,0.000000,6.777187,4.378938,0.900000,0.900000
30.672642,20.650000,0.120000,0.000000,0.000000,6.905204,4.343813,0.900000,0.900000
30.872642,20.850000,0.120000,0.000000,0.000000,7.029891,4.308970,0.900000,0.900000
31.072642,21.050000,0.120000,0.000000,0.000000,7.151430,4.274406,0.900000,0.900000
31.272642,21.250000,0.120000,0.000000,0.000000,7.269988,4.240119,0.900000,0.900000
31.472642,21.450000,0.120000,0.000000,0.000000,7.385714,4.206108,0.900000,0.900000
31.672642,21.650000,0.120000,0.000000,0.000000,7.498747,4.172369,0.900000,0.900000
31.872642,21.850000,0.120000,0.000000,0.000000,7.609215,4.138901,0.911800,0.911800
32.072642,22.050000,0.120000,0.000000,0.000000,7.717235,4.105701,0.900000,0.900000
32.272642,22.250000,0.120000,0.000000,0.000000,7.822915,4.072767,0.920800,0.920800
32.472642,22.450000,0.120000,0.000000,0.000000,7.926355,4.040098,0.950000,0.950000
32.672642,22.650000,0.120000,0.000000,0.000000,8.027649,4.007691,0.946200,0.946200
32.872642,22.850000,0.120000,0.000000,0.000000,8.126883,-0.232433,0.905200,0.905200
33.072642,23.050000,0.120000,0.000000,0.000000,8.121160,-13.216577,0.900000,0.900000
33.272642,23.250000,0.120000,0.000000,0.000000,7.788878,-13.111405,0.900000,0.900000
33.472642,23.450000,0.120000,0.000000,0.000000,7.444599,-13.007070,0.900000,0.900000
33.672642,23.650000,0.120000,0.000000,0.000000,7.086553,-12.903566,0.911800,0.911800
33.872642,23.850000,0.120000,0.000000,0.000000,6.712511,-12.800885,0.950000,0.950000
34.072642,24.050000,0.120000,0.000000,0.000000,6.319608,-12.699021,0.950000,0.950000
34.272642,24.250000,0.120000,0.000000,0.000000,5.904053,-12.597968,0.911800,0.911800
34.472642,24.450000,0.120000,0.000000,0.000000,5.460646,-12.497719,0.900000,0.900000
34.672642,24.650000,0.120000,0.000000,0.000000,4.981924,-12.398267,0.905200,0.905200
34.872642,24.850000,0.120000,0.000000,0.000000,4.456485,-12.299607,0.900000,0.900000
35.072642,25.050000,0.120000,0.000000,0.000000,3.865283,-12.201732,0.900000,0.900000
