s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;w_tr_right_m;w_tr_left_m
12.699025;23.862900;-0.702200;-0.018334;0.019882;6.573757;-12.006764;0.950000;0.950000
12.769937;23.933800;-0.703500;-0.019744;-0.019883;6.442934;-11.992646;0.950000;0.950000
12.840851;24.004700;-0.704900;-0.018308;0.020246;6.309560;-12.008910;0.950000;0.950000
12.911863;24.075700;-0.706200;-0.019744;-0.020218;6.173115;-11.264783;0.950000;0.950000
12.982777;24.146600;-0.707600;-0.016924;0.039766;6.042143;-11.275833;0.950000;0.950000
13.053687;24.217500;-0.708800;-0.016900;0.000336;5.908321;-11.372537;0.950000;0.950000
13.124697;24.288500;-0.710000;-0.014103;0.039380;5.770217;-11.340005;0.950000;0.950000
13.195604;24.359400;-0.711000;-0.011267;0.040000;5.628934;-10.224946;0.950000;0.950000
13.266609;24.430400;-0.711800;-0.005642;0.079227;5.498623;-10.195405;0.950000;0.950000
13.337510;24.501300;-0.712200;0.000000;0.079571;5.365353;-8.721397;0.950000;0.950000
13.408410;24.572200;-0.712200;0.009859;0.139053;5.248838;-8.346731;0.950000;0.950000
13.479413;24.643200;-0.711500;0.021153;0.159071;5.134855;-7.469244;0.950000;0.950000
13.550329;24.714100;-0.710000;0.035246;0.198727;5.030512;-6.164567;0.951300;0.951300
13.621273;24.785000;-0.707500;0.053621;0.259000;4.942845;-5.916575;0.961800;0.961800
13.692175;24.855800;-0.703700;0.073315;0.277762;4.857183;-4.678664;0.970800;0.970800
13.763166;24.926600;-0.698500;0.097424;0.339616;4.788400;-4.659819;0.996200;0.996200
13.834102;24.997200;-0.691600;0.121557;0.340199;4.718810;-4.210147;1.005000;1.005000
13.905025;25.067600;-0.683000;0.148472;0.379496;4.655090;-4.183263;1.011200;1.011200
13.976006;25.137800;-0.672500;0.174182;0.362217;4.590913;-4.780040;1.079400;1.079400
14.046980;25.207700;-0.660200;0.200161;0.366030;4.516403;-4.907315;1.092000;1.092000
14.117896;25.277200;-0.646100;0.224790;0.347295;4.438616;-5.533613;1.123600;1.123600
14.188779;25.346300;-0.630300;0.249078;0.342657;4.349307;-5.901243;1.140200;1.140200
14.259770;25.415100;-0.612800;0.274040;0.351621;4.252043;-5.934797;1.192700;1.192700
14.330718;25.483400;-0.593600;0.294562;0.289247;4.151776;-6.485953;1.234900;1.234900
14.401674;25.551300;-0.573000;0.319966;0.358037;4.039420;-6.425490;1.242000;1.242000
14.472572;25.618600;-0.550700;0.341792;0.307849;3.924928;-7.047758;1.274800;1.274800
14.543579;25.685500;-0.526900;0.367680;0.364574;3.795486;-7.014648;1.343500;1.343500
14.614521;25.751700;-0.501400;0.395442;0.391344;3.661902;-7.001034;1.345400;1.345400
14.685390;25.817100;-0.474100;0.423946;0.402199;3.523663;-6.856895;1.350900;1.350900
14.756374;25.881800;-0.444900;0.457339;0.470425;3.382945;-6.613697;1.430000;1.430000
14.827259;25.945400;-0.413600;0.494514;0.524444;3.241201;-6.401145;1.442200;1.442200
14.898266;26.007900;-0.379900;0.535584;0.578401;3.098047;-5.486190;1.484100;1.484100
14.969198;26.068900;-0.343700;0.584480;0.689332;2.969644;-4.963406;1.500800;1.500800
15.040062;26.128000;-0.304600;0.639560;0.777264;2.848622;-4.613393;1.520700;1.520700
15.111102;26.185000;-0.262200;0.700518;0.858071;2.731448;-3.740297;1.500800;1.500800
15.181997;26.239200;-0.216500;0.770444;0.986338;2.632372;-3.253010;1.470500;1.470500
15.252928;26.290100;-0.167100;0.847319;1.083800;2.543253;-2.679171;1.439600;1.439600
15.323775;26.337000;-0.114000;0.931527;1.188593;2.467400;-2.290350;1.411600;1.411600
15.394675;26.379300;-0.057100;1.021913;1.274829;2.400737;-1.956004;1.386500;1.386500
15.465592;26.416300;0.003400;1.117881;1.353239;2.342258;-1.544588;1.408000;1.408000
15.536435;26.447300;0.067100;1.219616;1.436078;2.295016;-1.546957;1.375700;1.375700
15.607364;26.471700;0.133700;1.324106;1.473159;2.246757;-1.433446;1.411600;1.411600
15.678209;26.489000;0.202400;1.432092;1.524258;2.201039;-0.669629;1.373000;1.373000
15.749090;26.498800;0.272600;1.548233;1.638549;2.179379;-0.095028;1.382900;1.382900
15.820008;26.500400;0.343500;1.669763;1.713662;2.176286;-0.094978;1.400000;1.400000
15.890854;26.493400;0.414000;1.783958;1.611868;2.173189;0.734865;1.400000;1.400000
15.961759;26.478400;0.483300;1.899683;1.632119;2.197015;0.402393;1.341600;1.341600
16.032659;26.455500;0.550400;2.012969;1.597823;2.209963;0.585355;1.320000;1.320000
16.103469;26.425200;0.614400;2.121620;1.534389;2.228664;0.969127;1.274800;1.274800
16.174354;26.388100;0.674800;2.226148;1.474636;2.259245;1.251988;1.253000;1.253000
16.245239;26.344900;0.731000;2.326263;1.412364;2.298191;1.514859;1.185300;1.185300
16.316122;26.296300;0.782600;2.417058;1.280898;2.344450;2.350521;1.163000;1.163000
16.387035;26.243200;0.829600;2.506267;1.258012;2.414471;2.123662;1.141300;1.141300
16.457977;26.186100;0.871700;2.582545;1.075204;2.476057;3.444481;1.166200;1.166200
16.528870;26.126000;0.909300;2.651470;0.972241;2.572854;3.920258;1.151100;1.151100
16.599823;26.063400;0.942700;2.717066;0.924514;2.678696;3.863894;1.142400;1.142400
16.670716;25.998800;0.971900;2.772598;0.783317;2.779159;4.888376;1.163000;1.163000
16.741693;25.932600;0.997500;2.824746;0.734714;2.901177;4.896167;1.140200;1.140200
16.812624;25.865200;1.019600;2.870268;0.641782;3.018586;5.117276;1.170500;1.170500
16.883518;25.796900;1.038600;2.908241;0.535636;3.136528;5.102718;1.142400;1.142400
16.954440;25.727900;1.055000;2.943092;0.491394;3.249816;5.088209;1.163000;1.163000
17.025434;25.658300;1.069000;2.971576;0.401217;3.359024;5.073736;1.110200;1.110200
17.096357;25.588400;1.081000;2.994514;0.323425;3.464599;5.059289;1.101100;1.101100
17.167323;25.518200;1.091400;3.014263;0.278276;3.566663;5.044898;1.025900;1.025900
17.238196;25.447900;1.100400;3.028601;0.202307;3.665668;5.030539;0.989900;0.989900
17.309149;25.377400;1.108400;3.041363;0.179871;3.761673;5.016240;0.955200;0.955200
17.380105;25.306800;1.115500;3.049783;0.118671;3.855128;5.001965;0.890200;0.890200
17.451004;25.236200;1.122000;3.056930;0.100797;3.946119;4.987730;0.860200;0.860200
17.521958;25.165500;1.128000;3.064065;0.100556;4.034737;4.973547;0.850000;0.850000
17.592971;25.094700;1.133500;3.066768;0.038066;4.121273;4.959394;0.827600;0.827600
17.663869;25.024000;1.138800;3.071088;0.060936;4.205860;4.945269;0.790600;0.790600
17.734846;24.953200;1.143800;3.072494;0.019803;4.288412;4.931207;0.776200;0.776200
17.805815;24.882400;1.148700;3.076621;0.058149;4.369265;4.917170;0.764900;0.764900
17.876665;24.811700;1.153300;3.078119;0.021145;4.448417;4.903174;0.751700;0.751700
17.947608;24.740900;1.157800;3.082423;0.060679;4.525835;4.889241;0.750000;0.750000
18.018632;24.670000;1.162000;3.085155;0.038466;4.601837;4.875330;0.750000;0.750000
18.089545;24.599200;1.166000;3.087972;0.039715;4.676477;4.861442;0.751700;0.751700
18.160447;24.528400;1.169800;3.093674;0.080431;4.749622;4.847615;0.743300;0.743300
18.231428;24.457500;1.173200;3.095082;0.019826;4.821444;4.833830;0.715900;0.715900
18.302405;24.386600;1.176500;3.100713;0.079335;4.892090;4.820069;0.650000;0.650000
18.373364;24.315700;1.179400;3.103476;0.038935;4.961529;4.806348;0.618500;0.618500
18.444216;24.244900;1.182100;3.107755;0.060402;5.029799;4.792669;0.608300;0.608300
18.515156;24.174000;1.184500;3.109210;0.020504;5.096864;4.779050;0.600000;0.600000
18.586193;24.103000;1.186800;3.111982;0.039029;5.162952;4.765453;0.600000;0.600000
18.657125;24.032100;1.188900;3.114801;0.039738;5.228109;4.751876;0.600000;0.600000
18.728050;23.961200;1.190800;3.114801;0.000000;5.292186;4.738358;0.570100;0.570100
18.798975;23.890300;1.192700;3.117620;0.039747;5.355313;4.724879;0.559000;0.559000
18.869896;23.819400;1.194400;3.116246;-0.019372;5.417528;4.711438;0.550000;0.550000
18.940919;23.748400;1.196200;3.119029;0.039192;5.478857;4.698037;0.550000;0.550000
19.011837;23.677500;1.197800;3.117620;-0.019877;5.539424;4.684655;0.552300;0.552300
