x_m,y_m,v_mps,dr_m,dl_m
15.7036517,2.3626012,2.2478989,0.37018704059308505,1.327812959406915
15.5856269,2.4463716,2.0904717,0.37287196186252,1.33912803813748
15.4707162,2.531902,1.9330444,0.5653013033672207,1.4792986966327792
15.3575138,2.6184867,1.7756172,0.6548500778488707,1.4703499221511294
15.2138677,2.7303541,1.6501976,0.7690772067321892,1.431922793267811
15.0771534,2.8434923,1.5268221,0.894002953933434,1.4059970460665658
14.9586047,2.9554233,1.4034465,1.0442170031717686,1.4305829968282315
14.8673941,3.0652566,1.2800709,1.1522053824199263,1.4485946175800737
14.8126943,3.1721015,1.1566954,0.8259379848856866,1.0776620151143135
14.8035507,3.2743962,1.0657932,0.4449054235701346,0.7094945764298655
14.8424063,3.3692201,1.1147118,0.3095243637699425,0.6452756362300575
14.9236616,3.4587021,1.1636303,0.37800636190204384,0.8129936380979562
15.0413955,3.5419506,1.2125488,0.6406907680598353,1.1801092319401647
15.1896866,3.6180738,1.2614673,0.7680163804421561,1.4103836195578436
15.3626139,3.6861798,1.3103858,0.6919573691955532,1.4136426308044467
15.5378608,3.740849,1.3854983,0.5693600822887853,1.3278399177112146
15.6662715,3.7744064,1.5502237,0.51813846076745,1.28186153923255
15.799865,3.8057547,1.7149491,0.4908972744877616,1.2423027255122385
15.9382238,3.8362467,1.8796745,0.4876896045545655,1.2123103954454344
16.0809304,3.8672351,2.0444,0.508225518879849,1.191774481120151
16.2275674,3.9000725,2.2091254,0.5364193324268237,1.1635806675731764
16.3777174,3.9361117,2.3738508,0.5717979430022837,1.1282020569977163
16.5309629,3.9767053,2.5385763,0.61521478893189,1.08478521106811
16.6868864,4.0232062,2.7033017,0.666424229466529,1.033575770533471
16.8450704,4.0769669,2.8680271,0.7261880737955672,0.9738119262044328
16.9960095,4.1353712,2.878525,0.7902349198922936,0.9097650801077064
17.145476,4.1996971,2.8581841,0.8594302378978075,0.8405697621021925
17.2937629,4.2692453,2.8378431,0.9321048763952892,0.7678951236047108
17.4393846,4.3426678,2.8175022,1.005985610040701,0.694014389959299
17.5808555,4.4186167,2.7971613,1.079180770441718,0.620819229558282
17.7166901,4.4957442,2.7768204,1.1684741237530751,0.5709258762469249
17.8454029,4.5727025,2.7564795,1.263394527047895,0.5366054729521049
17.9655084,4.6481437,2.7361385,1.320073629096351,0.47992637090364904
18.0755211,4.7207198,2.7157976,1.4179993637887431,0.48200063621125666
18.1739553,4.7890832,2.6954567,1.4544524566240846,0.4455475433759152
18.3284832,4.9062465,2.5191325,1.59086127328764,0.50233872671236
18.4555873,5.0204727,2.2951467,1.6847094281399024,0.5760905718600976
18.543789,5.1217805,2.0711609,1.6237502427996366,0.5246497572003633
18.6085718,5.2192904,1.8471752,1.5265874567784858,0.4496125432215142
18.6655655,5.3225033,1.654497,1.5410964531775728,0.516103546822427
18.7218124,5.4396215,1.563084,1.7556110510812082,0.8195889489187921
18.7651774,5.5725159,1.471671,1.7726637786020345,0.9329362213979655
18.7819931,5.7236981,1.380258,1.6817258879282673,0.9182741120717328
18.7585922,5.8956794,1.2888449,1.5809906435615717,0.8544093564384283
18.7131009,6.0254541,1.3514566,1.5652366871821821,0.8347633128178178
18.6539508,6.1440053,1.4587223,1.4861484455353482,0.7348515544646519
18.5780465,6.2654576,1.565988,1.4761689417912531,0.699831058208747
18.4869984,6.386814,1.6732538,1.4141581222226107,0.6214418777773894
18.3824172,6.5050776,1.7805195,1.2740241519532884,0.49697584804671147
18.2659132,6.6172512,1.8877852,1.1006596422963595,0.3993403577036404
18.139097,6.7203377,1.995051,0.9881336044611904,0.41186639553880955
18.0056803,6.8100744,2.1081485,0.8978037050216805,0.45639629497831957
17.8756792,6.8811841,2.2490367,0.8120368125175247,0.48796318748247536
17.7404185,6.9413781,2.3899248,0.7578472501461642,0.5421527498538359
17.6006518,6.991698,2.530813,0.710905509892735,0.589094490107265
17.4571328,7.0331856,2.6717012,0.6712156680864451,0.628784331913555
17.310615,7.0668823,2.8125894,0.6379146975399473,0.6620853024600527
17.1618521,7.09383,2.9534776,0.5878886506808522,0.6671113493191477
17.0115978,7.1150701,3.0943658,0.5873779363798396,0.7126220636201605
16.8606055,7.1316445,3.235254,0.5424687156930341,0.7063312843069658
16.7127863,7.1442758,3.3426016,0.5019285223440513,0.6980714776559487
16.5654628,7.1537885,3.4439062,0.48820199629376987,0.7117980037062301
16.4177932,7.1605104,3.5452108,0.4767467404012782,0.7232532595987218
16.2695229,7.1647121,3.6465154,0.46730682344784136,0.7326931765521586
16.1203973,7.1666644,3.74782,0.4597629035068111,0.7402370964931888
15.9701617,7.1666378,3.8491246,0.47291738329922683,0.7648826167007732
15.8185617,7.1649031,3.9504291,0.48802063670868834,0.7883793632913116
15.6653426,7.1617309,4.0517337,0.44709871943885804,0.7529012805611419
15.5132782,7.157485,4.1459803,0.47411123013357737,0.7828887698664225
15.3663874,7.1525842,4.2240329,0.454258910535603,0.763741089464397
15.2180704,7.1469881,4.3020855,0.4457609383819896,0.7542390616180104
15.068612,7.1408211,4.3801381,0.4470705171375383,0.7529294828624616
14.918297,7.1342075,4.4581907,0.44916797602395453,0.7508320239760454
14.76741,7.1272716,4.5362433,0.45205484731763734,0.7479451526823626
14.6162359,7.1201378,4.6142959,0.45541992956159755,0.7445800704384025
14.4650593,7.1129304,4.6923485,0.4596001491239101,0.7403998508760898
14.3141652,7.1057738,4.7704012,0.4641045995964226,0.7358954004035774
14.1632161,7.0987637,4.8470614,0.469248256564497,0.730751743435503
14.0101719,7.0918982,4.917242,0.4747183801613125,0.7252816198386874
13.8579705,7.0853372,4.9874226,0.4641714811039794,0.7028285188960206
13.7066148,7.0790928,5.0576031,0.4444493436865867,0.6705506563134133
13.5561076,7.0731768,5.1277837,0.4432661315794228,0.6567338684205772
13.4064517,7.0676011,5.1979643,0.4497023120595111,0.650297687940489
13.25765,7.0623776,5.2681449,0.45601605451936006,0.64398394548064
13.1097052,7.0575183,5.3383254,0.4620181653558297,0.6379818346441705
12.9626202,7.0530351,5.408506,0.46779817264979934,0.6322018273502008
12.8145878,7.0488913,5.4774408,0.47309650619688537,0.6269034938031147
12.6622767,7.0450075,5.5428161,0.47812290857250517,0.6218770914274949
12.5108171,7.041474,5.6081913,0.4505757627700605,0.5856242372299395
12.3601311,7.0382229,5.6735666,0.4837592260362808,0.6112407739637192
12.2101407,7.0351861,5.7389418,0.4613613846354183,0.5828386153645817
12.0607682,7.0322959,5.8043171,0.44390787292924516,0.5604921270707548
11.9119356,7.0294844,5.8696923,0.4433746592723299,0.5566253407276701
11.7635651,7.0266836,5.9350676,0.44425171881251596,0.5557482811874841
11.6155789,7.0238257,6.0004428,0.4508238245003224,0.5619761754996776
11.4655546,7.0207992,6.0618624,0.4936808152897646,0.6063191847102355
11.3150249,7.0176112,6.1219573,0.49201231213001567,0.6079876878699844
11.1647554,7.0142797,6.1820522,0.4416027829191562,0.5629972170808437
11.0147238,7.0108075,6.242147,0.4358607765269822,0.5649392234730177
10.864908,7.007197,6.3022419,0.4732509785369973,0.6125490214630027
10.7152855,7.0034511,6.3623367,0.47377267410969476,0.6262273258903053
10.5658342,6.9995724,6.4224316,0.5157429340305175,0.6842570659694824
10.4165318,6.9955635,6.4825265,0.5060247201117587,0.6939752798882413
10.2670006,6.9914166,6.538195,0.49457716852897426,0.7054228314710257
10.1170742,6.9871114,6.5876512,0.48494979900013,0.72285020099987
9.9672247,6.9826244,6.6371074,0.4896708440219777,0.7585291559780223
9.8174253,6.9779171,6.6865636,0.45209472856076394,0.7569052714392361
9.6676492,6.9729512,6.7360198,0.45303504402683636,0.7979649559731635
9.5178697,6.9676882,6.785476,0.45475297830332845,0.8452470216966717
9.3680598,6.9620896,6.8349322,0.47935545387265077,0.9206445461273491
9.2181928,6.956117,6.8843883,0.4942570746164311,0.9919429253835689
9.0683571,6.9497371,6.9183393,0.4347884109717096,0.9948115890282904
8.9191837,6.942935,6.8489282,0.4363291518136017,1.0636708481863983
8.7698943,6.9356104,6.779517,0.44917008562279986,1.1508299143772003
8.6204802,6.9276911,6.7101059,0.4346299598083021,1.216170040191698
8.4709327,6.9191046,6.6406947,0.4697385027057233,1.3374614972942767
8.3212428,6.9097785,6.5712835,0.4710336197179218,1.430966380282078
8.1714018,6.8996406,6.5018724,0.4969523245593036,1.5512476754406963
8.0214009,6.8886183,6.4324612,0.5463689494446865,1.6922310505553133
7.8712314,6.8766394,6.36305,0.4893811937956919,1.7166188062043082
7.7227698,6.8638031,6.2975396,0.5111314894972427,1.796868510502757
7.5746017,6.8499593,6.2330303,0.4992779607439092,1.802722039256091
7.4262226,6.8350214,6.168521,0.47351300185951195,1.7468869981404882
7.2776118,6.8189436,6.1040118,0.5212503226827185,1.7375496773172814
7.1287486,6.8016797,6.0395025,0.5801990595176161,1.721200940482384
6.9796123,6.7831835,5.9749933,0.6220152432399622,1.6779847567600377
6.8301819,6.7634091,5.910484,0.6547711572454671,1.6200288427545328
6.6804369,6.7423104,5.8459748,0.6366068869927135,1.5077931130072866
6.5314155,6.7200044,5.7812973,0.657810128965298,1.4329898710347022
6.3842631,6.6966646,5.7162745,0.6621116698242917,1.3402883301757085
6.2369,6.6719502,5.6512518,0.6694479482031392,1.2491520517968608
