# x_m,y_m,width_right,width_left
-2.5929,-11.7446,0.6944,0.7176
-2.5916,-11.7548,0.6942,0.7153
-2.5901,-11.7650,0.6941,0.7130
-2.5885,-11.7753,0.6940,0.7108
-2.5869,-11.7855,0.6940,0.7087
-2.5853,-11.7956,0.6940,0.7067
-2.5837,-11.8058,0.6939,0.7049
-2.5821,-11.8161,0.6938,0.7032
-2.5806,-11.8263,0.6936,0.7018
-2.5790,-11.8365,0.6934,0.7004
-2.5775,-11.8467,0.6932,0.6991
-2.5759,-11.8569,0.6930,0.6979
-2.5743,-11.8671,0.6928,0.6969
-2.5726,-11.8773,0.6927,0.6959
-2.5710,-11.8875,0.6926,0.6951
-2.5693,-11.8977,0.6925,0.6945
-2.5677,-11.9078,0.6924,0.6940
-2.5661,-11.9180,0.6923,0.6935
-2.5645,-11.9282,0.6922,0.6931
-2.5630,-11.9385,0.6921,0.6927
-2.5615,-11.9487,0.6920,0.6923
-2.5600,-11.9589,0.6919,0.6920
-2.5586,-11.9691,0.6917,0.6917
-2.5573,-11.9794,0.6915,0.6915
-2.5560,-11.9896,0.6914,0.6912
-2.5547,-11.9998,0.6912,0.6910
-2.5535,-12.0101,0.6911,0.6909
-2.5523,-12.0203,0.6910,0.6907
-2.5511,-12.0306,0.6908,0.6906
-2.5499,-12.0409,0.6907,0.6905
-2.5488,-12.0511,0.6905,0.6904
-2.5476,-12.0614,0.6904,0.6903
-2.5465,-12.0717,0.6903,0.6902
-2.5454,-12.0819,0.6902,0.6901
-2.5444,-12.0922,0.6900,0.6900
-2.5433,-12.1025,0.6899,0.6899
-2.5422,-12.1127,0.6897,0.6898
-2.5411,-12.1230,0.6896,0.6897
-2.5401,-12.1333,0.6893,0.6896
-2.5390,-12.1435,0.6890,0.6895
-2.5380,-12.1538,0.6887,0.6893
-2.5369,-12.1641,0.6882,0.6892
-2.5358,-12.1743,0.6877,0.6891
-2.5348,-12.1846,0.6871,0.6889
-2.5337,-12.1949,0.6864,0.6887
-2.5326,-12.2052,0.6857,0.6885
-2.5316,-12.2154,0.6849,0.6883
-2.5305,-12.2257,0.6840,0.6880
-2.5294,-12.2360,0.6832,0.6878
-2.5283,-12.2462,0.6823,0.6875
-2.5272,-12.2565,0.6814,0.6872
-2.5261,-12.2668,0.6806,0.6869
-2.5250,-12.2770,0.6797,0.6865
-2.5239,-12.2873,0.6788,0.6861
-2.5228,-12.2976,0.6779,0.6857
-2.5217,-12.3078,0.6771,0.6853
-2.5206,-12.3181,0.6762,0.6848
-2.5195,-12.3283,0.6753,0.6843
-2.5183,-12.3386,0.6744,0.6837
-2.5172,-12.3489,0.6736,0.6832
-2.5160,-12.3591,0.6727,0.6826
-2.5149,-12.3694,0.6718,0.6819
-2.5138,-12.3796,0.6709,0.6812
-2.5126,-12.3899,0.6699,0.6805
-2.5114,-12.4002,0.6689,0.6797
-2.5103,-12.4104,0.6679,0.6789
-2.5091,-12.4207,0.6669,0.6780
-2.5079,-12.4309,0.6659,0.6771
-2.5067,-12.4412,0.6648,0.6761
-2.5055,-12.4514,0.6637,0.6751
-2.5042,-12.4617,0.6627,0.6740
-2.5030,-12.4719,0.6616,0.6729
-2.5016,-12.4822,0.6606,0.6716
-2.5003,-12.4924,0.6595,0.6704
-2.4988,-12.5026,0.6586,0.6691
-2.4973,-12.5128,0.6576,0.6678
-2.4958,-12.5231,0.6568,0.6666
-2.4941,-12.5332,0.6559,0.6653
-2.4924,-12.5434,0.6552,0.6641
-2.4906,-12.5536,0.6545,0.6628
-2.4887,-12.5637,0.6539,0.6616
-2.4868,-12.5739,0.6534,0.6605
-2.4848,-12.5840,0.6529,0.6594
-2.4828,-12.5941,0.6524,0.6583
-2.4807,-12.6043,0.6519,0.6573
-2.4787,-12.6144,0.6514,0.6564
-2.4767,-12.6245,0.6509,0.6556
-2.4746,-12.6346,0.6504,0.6548
-2.4726,-12.6448,0.6499,0.6540
