x_m,y_m,v_mps,dr_m,dl_m
-1.9560399,1.0077117,3.9883043,0.4938714343815096,0.6241285656184905
-2.0368083,1.1903322,3.9998409,0.5085425170980671,0.6576574829019328
-2.1158711,1.3725766,3.8797721,0.4977562618309229,0.668443738169077
-2.1930178,1.5563346,3.7622107,0.4939399718999525,0.6462600281000476
-2.2669808,1.7410504,3.6494287,0.4998477529392262,0.640352247060774
-2.3370884,1.9276064,3.5395554,0.5389448767028774,0.6314551232971227
-2.4020949,2.1153734,3.4320474,0.5726378622583684,0.6273621377416315
-2.4615073,2.3060498,3.3264834,0.5740073,0.6909926999999999
-2.5134534,2.4969791,3.2214771,0.6095233945470463,0.6274766054529538
-2.5578483,2.6924208,3.1160024,0.6156878946561423,0.6843121053438578
-2.5924158,2.8881255,3.0091877,0.6337662433627845,0.6814337566372154
-2.6161539,3.0853633,2.899809,0.6539121793089541,0.7460878206910458
-2.6275993,3.2854199,2.7908273,0.6234992999999998,0.8083007000000002
-2.6250631,3.4832571,2.6832506,0.6050631,0.7949369
-2.6072919,3.6807432,2.5797834,0.5872918999999999,0.9127081000000001
-2.5726201,3.8777777,2.4859037,0.5526201,0.9473799
-2.5203553,4.0683258,2.4052227,0.5265552999999998,1.0258447000000002
-2.4498581,4.2527199,2.3401782,0.535184212100026,1.141215787899974
-2.3612235,4.4303833,2.2814668,0.4800784643743781,1.2199215356256219
-2.2545643,4.5984351,2.2119109,0.488873945657322,1.3139260543426778
-2.1299431,4.7534577,2.1317869,0.4794375701320354,1.3887624298679646
-1.9875558,4.8921036,2.078027,0.5147475085742984,1.5100524914257014
-1.8280087,5.0112085,2.0306686,0.5173189162387181,1.6780810837612816
-1.6534488,5.107187,1.9922551,0.473387,1.539013
-1.4670055,5.176893,1.9701008,0.502263286420884,1.467536713579116
-1.2725624,5.2180596,1.9729717,0.5303296138257317,1.3722703861742684
-1.0743597,5.2300613,2.0004412,0.5366686034145451,1.3633313965854548
-0.8760307,5.2144617,2.0204763,0.4733686030877441,1.329431396912256
-0.6808659,5.1756168,2.0370556,0.44801680000000055,1.3767831999999993
-0.4925808,5.1210076,2.0540923,0.4828220043104259,1.341977995689574
-0.3093802,5.0502888,2.0745948,0.4773649740744069,1.433035025925593
-0.134049,4.9573895,2.0998152,0.5342794570376243,1.3041205429623757
0.0280169,4.8410746,2.1267791,0.5089042028960182,1.2172957971039817
0.173551,4.703113,2.1572631,0.48560731384805994,1.0667926861519401
0.2998963,4.5485995,2.1969856,0.48131344773481877,0.9746865522651812
0.4072554,4.3827085,2.2620987,0.4921103151800119,0.8970896848199881
0.4991925,4.2053304,2.3385888,0.4992925,0.8609075000000002
0.5758283,4.0214855,2.4286903,0.5310460628734299,0.73395393712657
0.6389259,3.8333661,2.5288263,0.47742590000000007,0.7595741
0.6907526,3.6401573,2.6331732,0.4959526000000001,0.6744474
0.7318946,3.4462253,2.7461345,0.5018946,0.5981054000000001
0.7643762,3.2495168,2.8602262,0.5343762,0.5656238000000001
0.7891342,3.0520847,2.9760979,0.5591342,0.5408658000000001
0.8073831,2.8537572,3.0950973,0.5796831,0.5249169
0.8201002,2.6552594,3.2157366,0.6401001999999999,0.5598998000000001
0.8282534,2.4560207,3.3406182,0.6435551579437673,0.5268448420562328
0.8326355,2.2573228,3.4665465,0.7026355,0.4973645
0.8340367,2.0578991,3.5953442,0.7040367,0.4959633
0.8331021,1.8588891,3.7250641,0.6837698593624342,0.5162301406375658
0.8304965,1.6606029,3.8557555,0.7504964999999999,0.44950350000000006
0.8268503,1.4611979,3.9856985,0.7468503,0.4531497
0.8227218,1.2629376,4.1145285,0.7427217999999999,0.4572782000000001
0.818484,1.0639811,4.2401229,0.7384839999999999,0.46151600000000004
0.8144359,0.8650927,4.3623241,0.7344358999999999,0.46556410000000004
0.8108049,0.6666261,4.4822344,0.7308049,0.4691951
0.8077371,0.4675754,4.5978606,0.7277370999999999,0.47226290000000004
0.8053328,0.2687338,4.7109408,0.7253327999999999,0.47466720000000007
0.8036174,0.0700439,4.8219226,0.7236174,0.4763826
0.8025658,-0.1289575,4.929089,0.7225657999999999,0.47743420000000003
0.8021138,-0.3278117,5.034245,0.7221137999999999,0.47788620000000004
0.8021644,-0.5266306,5.137589,0.7221643999999999,0.4778356
0.8026022,-0.7255241,5.2376252,0.7226022,0.4773978
0.8033049,-0.9243267,5.3359111,0.7418049,0.4951951000000001
0.8041576,-1.1233103,5.431846,0.7426576,0.49434240000000007
0.8050601,-1.3219426,5.4927212,0.7640194065847821,0.4401805934152178
0.8059554,-1.5206763,5.461484,0.8259554,0.47404460000000004
0.8068292,-1.7199833,5.3404054,0.8268292,0.4731708
0.8077424,-1.9180136,5.2212857,0.8277424,0.47225760000000006
0.8089875,-2.116778,5.103467,0.8289875,0.47101250000000006
0.8105396,-2.3161118,4.9874203,0.814212807345225,0.485787192654775
0.8119454,-2.5143437,4.8737504,0.9319454,0.4680545999999999
0.8128106,-2.7142232,4.7609351,0.9346106000000001,0.4689893999999999
0.8127416,-2.9126534,4.6498087,0.9597177318461236,0.4962822681538764
0.8113609,-3.111904,4.5391805,1.0313609000000001,0.4686391
0.8082652,-3.3109186,4.4291975,1.0299652,0.47343480000000004
0.8030104,-3.5099014,4.3194783,1.0636104,0.5175896
0.7951251,-3.7087405,4.2098708,1.0790251,0.5487749
0.7840858,-3.9076427,4.0999144,1.1040858,0.5959142
0.7693805,-4.1059708,3.9897142,1.0893804999999999,0.6106195
0.7503721,-4.3042669,3.8786913,1.0892642376633874,0.6107357623366125
0.726457,-4.5019848,3.7668363,1.132457,0.639543
0.6970729,-4.6982702,3.6541384,1.129192217481704,0.6172077825182961
0.6611676,-4.8948524,3.5396277,1.1043676,0.6420324
0.6185761,-5.0883629,3.424214,1.0385761,0.6614239
0.5678948,-5.2813185,3.306533,0.9828707816531612,0.7171292183468387
0.5087083,-5.4716267,3.1868688,1.0426805013131717,0.7573194986868284
0.4408898,-5.6572335,3.0654923,1.0595898,0.8378102000000001
0.3624873,-5.8408171,2.9403168,0.9448873,0.8799127
0.2738977,-6.018748,2.8146624,0.8438977000000001,0.9561023
0.1743198,-6.1899986,2.6914837,0.8443198,1.0556802
0.0625259,-6.3542103,2.575662,0.8976173786178949,1.2023826213821052
-0.0615627,-6.5095106,2.4758826,0.8854815662300046,1.2733184337699952
-0.1981773,-6.6536614,2.3913966,0.925016630639621,1.3835833693603792
-0.3477929,-6.7845584,2.3217618,0.9780566473620076,1.4977433526379924
-0.5099958,-6.8995685,2.2678884,0.9210549599342122,1.5121450400657876
-0.6832454,-6.9959377,2.2019388,0.8310099364791943,1.449390063520806
-0.8669193,-7.0716359,2.1299606,0.8218359000000002,1.3985641
-1.0595627,-7.1238357,2.0540454,0.8026612058512251,1.189738794148775
-1.2561574,-7.1495158,2.0113544,0.7234679688770634,1.0229320311229366
-1.4556489,-7.1481991,1.9811308,0.7440991000000005,0.9677008999999995
-1.6522861,-7.119361,1.9628864,0.6833687967006294,0.8166312032993706
-1.8436755,-7.0626077,1.9677853,0.6476383639412358,0.7559616360587642
