# x_m,y_m,w_tr_right_m,w_tr_left_m
17.7601,1.6812,0.8000,0.8000
17.6571,1.6837,0.8000,0.8000
17.5543,1.6861,0.8000,0.8000
17.4514,1.6885,0.8000,0.8000
17.3485,1.6908,0.8000,0.8000
17.2455,1.6933,0.8000,0.8000
17.1422,1.6957,0.8000,0.8000
17.0387,1.6983,0.8000,0.8000
16.9348,1.7010,0.8000,0.8000
16.8304,1.7038,0.8000,0.8000
16.7257,1.7070,0.8000,0.8000
16.6208,1.7108,0.7803,0.7803
16.5161,1.7157,0.7562,0.7562
16.4118,1.7220,0.7500,0.7500
16.3083,1.7301,0.7500,0.7500
16.2059,1.7404,0.7553,0.7553
16.1048,1.7534,0.7743,0.7743
16.0054,1.7693,0.7571,0.7571
15.9080,1.7887,0.7500,0.7500
15.8128,1.8118,0.7468,0.7468
15.7202,1.8390,0.7666,0.7666
15.6305,1.8709,0.8234,0.8234
15.5440,1.9076,0.8459,0.8459
15.4609,1.9497,0.8490,0.8490
15.3816,1.9975,0.8471,0.8471
15.3064,2.0514,0.8560,0.8560
15.2356,2.1118,0.9124,0.9124
15.1694,2.1790,0.9541,0.9541
15.1082,2.2536,1.0223,1.0223
15.0521,2.3351,1.0430,1.0430
15.0002,2.4220,1.0626,1.0626
14.9521,2.5123,1.0555,1.0555
14.9068,2.6041,1.1005,1.1005
14.8637,2.6955,1.1500,1.1500
14.8225,2.7849,1.1983,1.1983
14.7841,2.8721,1.2374,1.2374
14.7496,2.9570,1.2765,1.2765
14.7199,3.0394,1.3004,1.3004
14.6963,3.1192,0.9518,0.9518
14.6798,3.1965,0.7179,0.7179
14.6712,3.2716,0.5772,0.5772
14.6713,3.3452,0.5016,0.5016
14.6810,3.4178,0.4774,0.4774
14.7010,3.4900,0.5006,0.5006
14.7323,3.5622,0.5955,0.5955
14.7747,3.6345,0.7574,0.7574
14.8268,3.7055,0.9104,0.9104
14.8873,3.7740,1.0285,1.0285
14.9545,3.8387,1.0892,1.0892
15.0269,3.8984,1.0805,1.0805
15.1034,3.9520,1.0788,1.0788
15.1833,3.9994,1.0528,1.0528
15.2664,4.0410,1.0000,1.0000
15.3526,4.0772,0.9877,0.9877
15.4417,4.1082,0.9486,0.9486
15.5335,4.1345,0.9000,0.9000
15.6278,4.1563,0.9000,0.9000
15.7243,4.1741,0.8666,0.8666
15.8230,4.1881,0.8500,0.8500
15.9236,4.1987,0.8500,0.8500
16.0259,4.2063,0.8500,0.8500
16.1297,4.2112,0.8500,0.8500
16.2349,4.2138,0.8500,0.8500
16.3412,4.2144,0.8500,0.8500
16.4485,4.2133,0.8500,0.8500
16.5565,4.2109,0.8500,0.8500
16.6652,4.2076,0.8500,0.8500
16.7741,4.2037,0.8500,0.8500
16.8833,4.1994,0.8500,0.8500
16.9925,4.1953,0.8500,0.8500
17.1014,4.1916,0.8500,0.8500
17.2100,4.1887,0.8500,0.8500
17.3180,4.1869,0.8500,0.8500
17.4252,4.1866,0.8500,0.8500
17.5315,4.1881,0.8500,0.8500
17.6366,4.1918,0.8500,0.8500
17.7403,4.1979,0.8697,0.8697
17.8425,4.2070,0.9000,0.9000
17.9429,4.2192,0.9000,0.9000
18.0415,4.2350,0.9000,0.9000
18.1379,4.2547,0.9201,0.9201
18.2320,4.2786,0.9500,0.9500
18.3236,4.3071,0.9500,0.9500
18.4124,4.3406,0.9668,0.9668
18.4985,4.3793,1.0019,1.0019
18.5814,4.4237,1.0466,1.0466
18.6610,4.4740,1.0500,1.0500
18.7369,4.5300,1.1233,1.1233
18.8085,4.5914,1.1511,1.1511
18.8755,4.6580,1.1304,1.1304
18.9372,4.7294,1.1040,1.1040
18.9933,4.8055,1.0742,1.0742
19.0433,4.8858,1.0432,1.0432
19.0866,4.9701,1.0137,1.0137
19.1229,5.0581,0.9881,0.9881
19.1515,5.1495,0.9687,0.9687
19.1721,5.2440,1.0286,1.0286
19.1848,5.3412,1.1496,1.1496
19.1899,5.4404,1.2876,1.2876
19.1881,5.5412,1.3634,1.3634
19.1798,5.6430,1.3528,1.3528
19.1655,5.7451,1.3500,1.3500
19.1457,5.8471,1.3000,1.3000
19.1208,5.9483,1.2922,1.2922
19.0913,6.0482,1.2177,1.2177
19.0578,6.1463,1.2000,1.2000
19.0205,6.2419,1.1521,1.1521
18.9793,6.3345,1.1105,1.1105
18.9340,6.4235,1.0880,1.0880
18.8845,6.5083,1.0739,1.0739
18.8307,6.5884,1.0317,1.0317
18.7724,6.6632,1.0178,1.0178
18.7095,6.7321,0.9745,0.9745
18.6418,6.7946,0.8855,0.8855
18.5692,6.8500,0.8200,0.8200
18.4915,6.8978,0.7698,0.7698
18.4087,6.9376,0.7500,0.7500
18.3211,6.9697,0.7012,0.7012
18.2294,6.9950,0.7000,0.7000
18.1342,7.0144,0.7000,0.7000
18.0361,7.0287,0.6771,0.6771
17.9357,7.0388,0.6500,0.6500
17.8335,7.0455,0.6500,0.6500
17.7304,7.0496,0.6500,0.6500
17.6267,7.0521,0.6500,0.6500
17.5232,7.0537,0.6500,0.6500
17.4199,7.0546,0.6500,0.6500
17.3168,7.0548,0.6500,0.6500
17.2140,7.0545,0.6132,0.6132
17.1114,7.0537,0.6275,0.6275
17.0089,7.0524,0.6500,0.6500
16.9067,7.0506,0.6244,0.6244
16.8046,7.0484,0.6040,0.6040
16.7026,7.0459,0.6000,0.6000
16.6008,7.0430,0.6000,0.6000
16.4992,7.0398,0.6000,0.6000
16.3976,7.0365,0.6000,0.6000
16.2961,7.0329,0.6000,0.6000
16.1947,7.0291,0.6000,0.6000
16.0934,7.0253,0.6000,0.6000
15.9921,7.0214,0.6189,0.6189
15.8909,7.0174,0.6500,0.6500
15.7897,7.0135,0.6382,0.6382
15.6885,7.0096,0.6000,0.6000
15.5873,7.0058,0.6000,0.6000
15.4861,7.0020,0.6285,0.6285
15.3848,6.9984,0.6090,0.6090
15.2836,6.9948,0.6000,0.6000
15.1822,6.9915,0.6000,0.6000
15.0808,6.9882,0.6000,0.6000
