# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.6700,2.9900,0.7000,0.7000
-2.6700,3.0400,0.7000,0.7000
-2.6700,3.0900,0.7000,0.7000
-2.7200,3.1400,0.7159,0.7159
-2.7200,3.1900,0.7280,0.7280
-2.7200,3.2400,0.7280,0.7280
-2.7200,3.2900,0.7159,0.7159
-2.7200,3.3400,0.7071,0.7071
-2.7200,3.3900,0.7018,0.7018
-2.7200,3.4400,0.7000,0.7000
-2.7200,3.4900,0.7000,0.7000
-2.7200,3.5400,0.7000,0.7000
-2.7700,3.5900,0.7500,0.7500
-2.7700,3.6400,0.7500,0.7500
-2.7700,3.6900,0.7500,0.7500
-2.7700,3.7400,0.7500,0.7500
-2.7700,3.7900,0.7500,0.7500
-2.7700,3.8400,0.7500,0.7500
-2.7700,3.8900,0.7500,0.7500
-2.7700,3.9400,0.7517,0.7517
-2.7700,3.9900,0.7566,0.7566
-2.7700,4.0400,0.7649,0.7649
-2.7700,4.0900,0.7762,0.7762
-2.7700,4.1400,0.7906,0.7906
-2.8200,4.1900,0.7762,0.7762
-2.8200,4.2400,0.7906,0.7906
-2.7700,4.2900,0.8382,0.8382
-2.7700,4.3400,0.8246,0.8246
-2.7700,4.3900,0.8139,0.8139
-2.7700,4.4400,0.8062,0.8062
-2.7700,4.4900,0.8016,0.8016
-2.7200,4.5400,0.8500,0.8500
-2.7200,4.5900,0.8500,0.8500
-2.7200,4.6400,0.8382,0.8382
-2.6700,4.6900,0.8732,0.8732
-2.6700,4.7400,0.8631,0.8631
-2.6200,4.7900,0.9014,0.9014
-2.6200,4.8400,0.8860,0.8860
-2.6200,4.8900,0.8732,0.8732
-2.5700,4.9400,0.9014,0.9014
-2.5200,4.9900,0.9341,0.9341
-2.5200,5.0400,0.9220,0.9220
-2.4700,5.0900,0.9618,0.9618
-2.4700,5.1400,0.9487,0.9487
-2.4200,5.1900,0.9823,0.9823
-2.3700,5.2400,1.0124,1.0124
-2.3700,5.2900,0.9962,0.9962
-2.3200,5.3400,1.0308,1.0308
-2.2700,5.3900,1.0689,1.0689
-2.2200,5.4400,1.0977,1.0977
-2.1700,5.4900,1.1068,1.1068
-2.1200,5.5400,1.0770,1.0770
-2.0700,5.5400,1.0920,1.0920
-2.0200,5.5900,1.0595,1.0595
-1.9700,5.5900,1.0689,1.0689
-1.9200,5.6400,1.0308,1.0308
-1.8700,5.6400,1.0440,1.0440
-1.8200,5.6400,1.0595,1.0595
-1.7700,5.6400,1.0512,1.0512
-1.7200,5.6400,1.0296,1.0296
-1.6700,5.6400,1.0062,1.0062
-1.6200,5.6400,0.9849,0.9849
-1.5700,5.6900,1.0124,1.0124
-1.5200,5.6900,0.9962,0.9962
-1.4700,5.6900,0.9823,0.9823
-1.4200,5.6900,0.9708,0.9708
-1.3700,5.6900,0.9618,0.9618
-1.3200,5.6900,0.9552,0.9552
-1.2700,5.6900,0.9513,0.9513
