# x_m,y_m,width_inner,width_outer
-2.0822,-90.7578,1.0520,1.0517
-2.1960,-90.7604,1.0520,1.0517
-2.3098,-90.7630,1.0520,1.0517
-2.4236,-90.7656,1.0520,1.0517
-2.5374,-90.7681,1.0521,1.0517
-2.6512,-90.7706,1.0521,1.0517
-2.7650,-90.7731,1.0521,1.0517
-2.8788,-90.7756,1.0522,1.0517
-2.9926,-90.7780,1.0523,1.0518
-3.1064,-90.7804,1.0524,1.0518
-3.2201,-90.7828,1.0525,1.0520
-3.3339,-90.7852,1.0527,1.0521
-3.4477,-90.7875,1.0528,1.0522
-3.5615,-90.7899,1.0530,1.0524
-3.6753,-90.7922,1.0532,1.0526
-3.7891,-90.7946,1.0533,1.0528
-3.9029,-90.7969,1.0533,1.0530
-4.0167,-90.7993,1.0533,1.0532
-4.1305,-90.8016,1.0532,1.0534
-4.2443,-90.8039,1.0532,1.0535
-4.3581,-90.8062,1.0531,1.0536
-4.4719,-90.8085,1.0530,1.0537
-4.5857,-90.8108,1.0528,1.0538
-4.6995,-90.8131,1.0526,1.0536
-4.8133,-90.8153,1.0524,1.0533
-4.9271,-90.8174,1.0521,1.0530
-5.0409,-90.8195,1.0518,1.0526
-5.1547,-90.8215,1.0514,1.0522
-5.2685,-90.8235,1.0510,1.0518
-5.3823,-90.8253,1.0506,1.0513
-5.4961,-90.8271,1.0502,1.0508
-5.6099,-90.8288,1.0497,1.0502
-5.7237,-90.8304,1.0492,1.0497
-5.8375,-90.8319,1.0488,1.0491
-5.9513,-90.8332,1.0483,1.0486
-6.0651,-90.8345,1.0479,1.0481
-6.1789,-90.8357,1.0474,1.0476
-6.2927,-90.8367,1.0470,1.0471
-6.4066,-90.8376,1.0466,1.0466
-6.5204,-90.8385,1.0463,1.0462
-6.6342,-90.8392,1.0460,1.0458
-6.7480,-90.8399,1.0457,1.0454
-6.8618,-90.8404,1.0454,1.0451
-6.9756,-90.8409,1.0452,1.0449
-7.0895,-90.8414,1.0450,1.0446
-7.2033,-90.8417,1.0449,1.0444
-7.3171,-90.8420,1.0447,1.0443
-7.4309,-90.8423,1.0447,1.0441
-7.5447,-90.8425,1.0446,1.0440
-7.6585,-90.8427,1.0446,1.0440
-7.7724,-90.8428,1.0446,1.0439
-7.8862,-90.8429,1.0446,1.0439
-8.0000,-90.8430,1.0446,1.0439
-8.1138,-90.8431,1.0446,1.0439
-8.2276,-90.8431,1.0447,1.0440
-8.3415,-90.8432,1.0448,1.0440
-8.4553,-90.8432,1.0449,1.0441
-8.5691,-90.8432,1.0449,1.0442
-8.6829,-90.8432,1.0448,1.0443
-8.7967,-90.8431,1.0447,1.0444
-8.9105,-90.8431,1.0446,1.0445
-9.0244,-90.8430,1.0446,1.0447
-9.1382,-90.8430,1.0446,1.0449
-9.2520,-90.8429,1.0446,1.0451
-9.3658,-90.8428,1.0446,1.0454
-9.4796,-90.8426,1.0447,1.0456
-9.5935,-90.8425,1.0448,1.0456
-9.7073,-90.8423,1.0449,1.0457
-9.8211,-90.8420,1.0451,1.0458
-9.9349,-90.8417,1.0453,1.0459
-10.0487,-90.8414,1.0456,1.0461
-10.1625,-90.8410,1.0459,1.0463
-10.2764,-90.8406,1.0463,1.0466
-10.3902,-90.8401,1.0467,1.0470
-10.5040,-90.8396,1.0472,1.0474
-10.6178,-90.8390,1.0478,1.0479
-10.7316,-90.8384,1.0484,1.0485
-10.8454,-90.8377,1.0490,1.0491
-10.9593,-90.8369,1.0498,1.0498
-11.0731,-90.8361,1.0506,1.0506
-11.1869,-90.8353,1.0514,1.0514
-11.3007,-90.8344,1.0523,1.0522
-11.4145,-90.8335,1.0532,1.0531
-11.5283,-90.8325,1.0541,1.0540
-11.6422,-90.8316,1.0551,1.0550
-11.7560,-90.8307,1.0560,1.0559
-11.8698,-90.8298,1.0569,1.0568
-11.9836,-90.8289,1.0579,1.0577
-12.0974,-90.8281,1.0587,1.0586
-12.2112,-90.8273,1.0595,1.0594
-12.3250,-90.8266,1.0603,1.0602
-12.4389,-90.8260,1.0610,1.0608
-12.5527,-90.8256,1.0616,1.0614
-12.6665,-90.8252,1.0621,1.0619
-12.7803,-90.8250,1.0624,1.0622
-12.8941,-90.8249,1.0627,1.0624
-13.0079,-90.8250,1.0629,1.0626
-13.1218,-90.8252,1.0629,1.0626
-13.2356,-90.8257,1.0628,1.0624
-13.3494,-90.8263,1.0627,1.0622
-13.4632,-90.8270,1.0624,1.0618
-13.5770,-90.8280,1.0620,1.0614
-13.6908,-90.8291,1.0615,1.0609
-13.8047,-90.8305,1.0609,1.0603
-13.9185,-90.8320,1.0603,1.0596
-14.0323,-90.8337,1.0596,1.0589
-14.1461,-90.8356,1.0589,1.0582
-14.2599,-90.8377,1.0582,1.0574
-14.3737,-90.8400,1.0574,1.0566
-14.4875,-90.8424,1.0567,1.0559
-14.6012,-90.8451,1.0559,1.0551
-14.7150,-90.8479,1.0552,1.0544
-14.8288,-90.8509,1.0545,1.0537
-14.9426,-90.8540,1.0539,1.0531
-15.0563,-90.8573,1.0533,1.0525
-15.1701,-90.8608,1.0527,1.0519
-15.2839,-90.8645,1.0522,1.0515
-15.3976,-90.8683,1.0518,1.0510
-15.5114,-90.8722,1.0514,1.0506
-15.6251,-90.8763,1.0510,1.0503
-15.7389,-90.8806,1.0507,1.0500
-15.8526,-90.8850,1.0505,1.0497
-15.9663,-90.8895,1.0503,1.0495
-16.0800,-90.8941,1.0501,1.0494
-16.1938,-90.8988,1.0500,1.0492
-16.3075,-90.9037,1.0499,1.0491
-16.4212,-90.9086,1.0498,1.0490
-16.5349,-90.9137,1.0498,1.0490
-16.6486,-90.9188,1.0498,1.0489
-16.7623,-90.9240,1.0498,1.0489
-16.8760,-90.9293,1.0498,1.0489
-16.9897,-90.9346,1.0498,1.0489
-17.1034,-90.9401,1.0499,1.0489
-17.2171,-90.9455,1.0499,1.0489
-17.3307,-90.9511,1.0498,1.0489
